HD 124330 b,14,1.3,0.338
HD 12484 b,13.2,1,0.022
HD 125271 b,12.4,0.75,-0.604
HD 125390 b,11.9,6.47,1.124
HD 125595 b,2.4,0.74,-0.617
HD 125612 b,13.2,1.07,0.06
HD 125612 c,4.07,1.05,0.06
HD 125612 d,12.7,1.05,0.06
HD 12648 b,13.4,11.02,1.753
HD 126525 b,10.3,0.98,-0.04
HD 12661 b,13.3,1.2,0.133
HD 12661 c,13.4,1.11,0.063
HD 126614 b,12.7,1.37,0.083
HD 127506 b,5.67,0.74,-0.663
HD 128311 b,13.5,0.76,-0.512
HD 128311 c,13,0.76,-0.512
HD 128356 b,13.9,0.85,-0.444
HD 129445 b,13.3,1.18,0.09
HD 130322 b,13.7,0.85,-0.235
HD 131496 b,13.4,4.44,0.991
HD 13167 b,13.1,2.39,0.96
HD 13189 b,12.4,38.41,2.636
HD 132406 b,12.7,1.34,0.26
HD 132563 b,13.6,1.3,0.374
HD 133131 A b,13.6,0.96,-0.017
HD 133131 A c,14.3,0.96,-0.017
HD 133131 B b,13.3,0.99,-0.009
HD 134060 b,3.16,1.16,0.158
HD 134060 c,5.91,1.16,0.158
HD 134987 b,13.5,1.22,0.255
HD 134987 c,13.9,1.25,0.255
HD 135872 b,12.8,3.93,0.937
HD 136118 b,12.3,1.68,0.569
HD 136352 b,1.664,1.06,0.016
HD 136352 c,2.916,1.06,0.016
HD 136352 d,2.562,1.06,0.016
HD 136418 b,13.3,3.78,0.833
HD 136925 b,13.9,1.19,0.134
HD 13724 c,8.18,1.04,0.055
HD 137388 b,9.32,0.88,-0.337
HD 137496 c,12.6,1.59,0.366
HD 13808 b,3.35,0.78,-0.435
HD 13808 c,3.13,0.78,-0.435
HD 13908 b,13.9,1.67,0.602
HD 13908 c,12.8,1.67,0.602
HD 13931 b,13.2,1.25,0.196
HD 139357 b,12.1,11.47,1.823
HD 14067 b,12.2,12.4,1.898
HD 140901 b,4.07,0.95,-0.102
HD 140901 c,12.7,0.95,-0.102
HD 141004 b,3.77,1.39,0.346
HD 141399 b,14.3,1.39,0.201
HD 141399 c,13.6,1.39,0.201
HD 141399 d,13.7,1.39,0.201
HD 141399 e,14.1,1.39,0.201
HD 141937 b,12.5,1.03,0.022
HD 142 A d,10.9,1.41,0.474
HD 142 b,13.7,1.47,0.474
HD 142 c,12.4,1.47,0.474
HD 142022 A b,12.9,1.04,0.004
HD 142245 b,13.1,4.63,1.13
HD 142415 b,13.5,1.04,0.06
HD 143105 b,13.7,1.65,0.556
HD 143361 b,12.9,0.92,-0.092
HD 144899 b,4.77,1.65,0.537
HD 145377 b,12.8,1.05,0.193
HD 145457 b,13.3,10.52,1.655
HD 145675 c,12.9,1,-0.151
HD 145934 b,13.4,6.93,1.355
HD 1461 b,2.42,1.15,0.095
HD 1461 c,2.23,1.15,0.097
HD 147018 b,13.4,0.94,-0.148
HD 147018 c,12.7,0.94,-0.148
HD 147379 b,5.82,0.63,-0.971
HD 147513 b,13.7,0.98,-0.01
HD 14787 b,13.7,5.01,1.115
HD 147873 b,12.8,2.29,0.777
HD 147873 c,13.3,2.29,0.777
HD 148156 b,13.9,1.21,0.25
HD 148164 b,13.7,1.34,0.33
HD 148164 c,12.8,1.34,0.33
HD 148427 b,13.6,3.86,0.78
HD 149026 b,8.295,1.41,0.48
HD 149143 b,13.6,1.44,0.35
HD 149806 b,12.3,0.89,-0.245
HD 150010 b,13.3,16.2,1.982
HD 1502 b,13.2,4.67,1.064
HD 150706 b,13.3,0.96,0.032
HD 151450 b,6.94,1.17,0.231
HD 151450 c,12.8,1.17,0.231
HD 152079 b,13.2,1.13,0.107
HD 152581 b,13.4,5.14,1.173
HD 153557 b,4.77,0.75,-0.562
HD 153557 c,4.36,0.75,-0.562
HD 153557 d,11.9,0.75,-0.562
HD 153950 b,13.2,1.28,0.346
HD 154088 b,2.46,0.95,-0.131
HD 154345 b,13.7,0.85,-0.219
HD 154672 b,12.8,1.32,0.257
HD 154857 b,13.3,2.3,0.663
HD 154857 c,13.2,1.76,0.665
HD 155193 b,14,1.76,0.641
HD 155358 b,13.8,1.38,0.299
HD 155358 c,13.9,1.38,0.299
HD 155918 b,2.67,1.02,0.016
HD 155918 c,12.8,1.02,0.016
HD 156098 b,4.12,2.76,1.066
HD 156098 c,12.8,2.76,1.066
HD 156279 b,12.5,0.95,-0.146
HD 156279 c,12.5,0.97,-0.146
HD 156411 b,14,2.16,0.731
HD 156668 b,1.87,0.72,0.23
HD 156668 c,6.17,0.77,-0.537
HD 156846 b,12.4,1.9,0.697
HD 158038 b,13.5,4.5,1.076
HD 158259 b,1.285,1.21,0.212
HD 158259 c,2.23,1.21,0.212
HD 158259 d,2.18,1.21,0.212
HD 158259 e,2.34,1.21,0.212
HD 158259 f,2.35,1.21,0.212
HD 158996 b,12.3,50.3,3.015
HD 159243 b,13.7,1.12,0.114
HD 159243 c,13.4,1.12,0.114
HD 159868 b,13.3,2.13,0.556
HD 159868 c,14,2.13,0.555
HD 1605 b,13.8,3.49,0.81
HD 1605 c,13,3.49,0.81
HD 160691 d,3.17,1.33,0.278
HD 161178 b,14.1,10.95,1.751
HD 16141 b,10.9,1.48,0.366
HD 16175 b,12.8,1.72,0.508
HD 162020 b,12.5,0.75,-0.602
HD 163607 b,13.9,1.76,0.42
HD 163607 c,13.3,1.76,0.42
HD 16417 b,5,1.64,0.443
HD 164509 b,14.3,1.11,0.12
HD 164595 b,4.16,1.02,0.017
HD 164604 b,13.4,0.77,-0.588
HD 164922 b,13.3,0.95,-0.149
HD 164922 c,3.66,0.95,-0.149
HD 164922 d,1.83,0.95,-0.149
HD 164922 e,3.23,1,-0.14
HD 165131 b,12.1,1.06,0.083
HD 165155 b,13.2,0.95,-0.155
HD 1666 b,12.7,1.93,0.73
HD 166724 b,13,0.8,-0.509
HD 167042 b,13.5,4.3,1.023
HD 167677 b,13.2,0.95,-0.132
HD 167768 b,13.9,9.7,1.669
HD 168009 b,3.05,1.21,0.15
HD 168443 b,12.6,1.71,0.382
HD 168443 c,12.2,1.71,0.382
HD 168746 b,11.1,1.09,0.041
HD 168863 b,12.7,0.78,-0.501
HD 1690 b,12.5,21.66,1.52
HD 16905 b,12.5,0.77,-0.518
HD 169830 b,13.2,1.94,0.662
HD 169830 c,12.6,1.94,0.662
HD 170469 b,14.1,1.24,0.204
HD 17092 b,12.5,13.58,1.756
HD 171028 b,13.2,2.47,0.733
HD 171238 b,12.5,1.01,-0.09
HD 17156 b,12.33,1.55,0.39
HD 173416 b,13.2,13.5,1.892
HD 174205 b,13,26.6,2.378
HD 175167 b,12.7,1.75,0.456
HD 175541 b,14.1,4.19,0.934
