HD 16417 b,5,1.64
HD 164509 b,14.3,1.11
HD 164595 b,4.16,1.02
HD 164604 b,13.4,0.77
HD 164922 b,13.3,0.95
HD 164922 c,3.66,0.95
HD 164922 d,1.83,0.95
HD 164922 e,3.23,1
HD 165131 b,12.1,1.06
HD 165155 b,13.2,0.95
HD 1666 b,12.7,1.93
HD 166724 b,13,0.8
HD 167042 b,13.5,4.3
HD 167677 b,13.2,0.95
HD 167768 b,13.9,9.7
HD 168009 b,3.05,1.21
HD 168443 b,12.6,1.71
HD 168443 c,12.2,1.71
HD 168746 b,11.1,1.09
HD 168863 b,12.7,0.78
HD 1690 b,12.5,21.66
HD 16905 b,12.5,0.77
HD 169830 b,13.2,1.94
HD 169830 c,12.6,1.94
HD 170469 b,14.1,1.24
HD 17092 b,12.5,13.58
HD 171028 b,13.2,2.47
HD 171238 b,12.5,1.01
HD 17156 b,12.33,1.55
HD 173416 b,13.2,13.5
HD 174205 b,13,26.6
HD 175167 b,12.7,1.75
HD 175541 b,14.1,4.19
HD 175607 b,2.94,0.7
HD 17674 b,13.9,1.18
HD 176986 b,2.26,0.78
HD 176986 c,2.98,0.78
HD 177565 b,4,0.97
HD 177830 b,13.5,3.26
HD 177830 c,7.87,2.62
HD 178911 B b,12.6,1.08
HD 179079 b,5.48,1.63
HD 179949 b,13.9,1.27
HD 180053 b,13.3,4.06
HD 18015 b,13.1,3.13
HD 180314 b,12.1,8.13
HD 180617 b,3.53,0.48
HD 180902 b,13.5,4.16
HD 181234 b,12.5,1.06
HD 181342 b,13.2,4.71
HD 18143 b,3.28,0.87
HD 18143 c,12.5,0.87
HD 181433 b,2.4,0.79
HD 181433 c,14.1,0.81
HD 181433 d,14.2,0.81
HD 181720 b,14,1.5
HD 183263 b,13.1,1.23
HD 183263 c,12.5,1.29
HD 184010 b,12.1,4.86
HD 184010 c,11.8,4.86
HD 184010 d,14.3,4.86
HD 18438 b,12.1,88.48
HD 185269 b,13.8,2
HD 187085 b,13.9,1.27
HD 187123 b,14.2,1.15
HD 187123 c,13.4,1.15
HD 18742 b,13.1,5.13
HD 188015 b,13.6,1.13
HD 188641 b,11.9,1.94
HD 189567 b,2.85,1.04
HD 189567 c,2.54,1.04
HD 189733 b,12.666,0.75
HD 190007 b,4.21,0.79
HD 190228 b,12.9,2.59
HD 190360 b,13.4,1.14
HD 190360 c,4.59,1.17
HD 190647 b,13.4,1.38
HD 190984 b,13,1.53
HD 191806 b,12.5,1.4
HD 191939 e,13,0.94
HD 191939 f,13.4,0.94
HD 191939 g,3.74,0.94
HD 192263 b,14.2,0.74
HD 192310 b,4.27,0.86
HD 192310 c,5.25,0.81
HD 192699 b,13.4,4.41
HD 194490 b,12.4,1.15
HD 195019 b,13,1.48
HD 196050 b,12.9,1.42
HD 196067 b,12.3,1.73
HD 19615 b,12.6,32.3
HD 196885 A b,13.2,1.31
HD 197037 b,13.9,1.1
HD 199509 b,7.43,0.92
HD 19994 b,13.6,1.8
HD 20003 b,3.43,0.92
HD 20003 c,3.89,0.92
HD 200964 b,13.5,4.92
HD 200964 c,13.7,4.92
HD 202206 c,12.2,1.04
HD 203387 b,13.1,10.59
HD 203387 c,12.6,10.59
HD 2039 b,12.7,1.19
HD 204313 b,12.9,1.1
HD 204313 c,4.31,1.13
HD 204313 e,12.2,1.13
HD 204941 b,10.1,0.78
HD 205158 b,13.9,1.88
HD 205739 b,13.6,1.33
HD 206255 b,6.47,2.22
HD 206610 b,13.4,6.12
