K2-175 b,2.038,1.42,0.419
K2-176 b,1.491,0.86,-0.348
K2-177 b,2.116,1.21,0.342
K2-178 b,3.558,0.89,-0.284
K2-179 b,2.513,0.77,-0.523
K2-18 b,2.37,0.41,-1.597
K2-180 b,2.52,0.72,-0.439
K2-181 b,2.84,1.07,-0.013
K2-182 b,2.69,0.79,-0.408
K2-183 b,1.1,0.87,-0.138
K2-183 c,2.3,0.87,-0.132
K2-183 d,2.3,0.87,-0.138
K2-184 b,1.47,0.75,-0.399
K2-185 b,1.15,0.94,-0.09
K2-185 c,2.39,0.94,-0.09
K2-186 b,3.172,0.98,0.05
K2-187 b,1.2,0.83,-0.21
K2-187 c,1.4,0.83,-0.21
K2-187 d,2.4,0.83,-0.196
K2-187 e,1.9,0.83,-0.21
K2-188 b,1.35,1.19,0.184
K2-188 c,2.83,1.19,0.211
K2-189 b,1.52,0.87,-0.239
K2-189 c,2.5,0.87,-0.219
K2-19 b,7,0.82,-0.292
K2-19 c,4.1,0.82,-0.305
K2-19 d,1.11,0.82,-0.305
K2-190 b,1.357,0.91,-0.068
K2-190 c,1.093,0.91,-0.086
K2-191 b,1.579,0.84,-0.345
K2-192 b,1.52,0.81,-0.36
K2-193 b,3.95,0.98,-0.076
K2-194 b,3.642,1.28,0.363
K2-195 b,3.13,0.99,-0.012
K2-195 c,2.576,0.91,-0.053
K2-196 b,3.6,1.54,0.644
K2-197 b,2.56,0.93,-0.114
K2-198 b,4.189,0.76,-0.401
K2-198 c,1.423,0.76,-0.401
K2-198 d,2.438,0.76,-0.401
K2-199 b,1.73,0.68,-0.733
K2-199 c,2.85,0.68,-0.733
K2-200 b,1.364,0.79,-0.429
K2-201 b,1.4,0.88,-0.276
K2-201 c,3.286,0.88,-0.276
K2-202 b,2.302,0.91,-0.335
K2-203 b,1.371,0.76,-0.485
K2-204 b,3.046,1.18,0.253
K2-205 b,1.996,1.08,0.194
K2-206 b,2.795,0.76,-0.435
K2-207 b,2.606,0.93,-0.173
K2-208 b,1.679,0.86,-0.214
K2-209 b,0.869,0.71,-0.588
K2-21 b,1.84,0.65,-1.026
K2-21 c,2.49,0.65,-0.985
K2-210 b,0.86,0.89,-0.249
K2-211 b,1.3,0.79,-0.386
K2-212 b,2.65,0.68,-0.91
K2-213 b,1.514,1.2,0.247
K2-214 b,2.43,1.27,0.196
K2-215 b,2.124,0.97,-0.026
K2-216 b,1.75,0.72,-0.721
K2-217 b,3.579,1.33,0.232
K2-218 b,2.569,1.01,-0.003
K2-219 b,1.348,1.19,0.151
K2-219 c,1.438,1.19,0.151
K2-219 d,2.576,1.19,0.151
K2-22 b,2.3,0.58,-1.074
K2-220 b,2.39,1.02,-0.061
K2-221 b,1.679,0.95,-0.064
K2-222 b,2.35,1.11,0.139
K2-223 b,0.89,1,-0.035
K2-223 c,1.5,1,-0.035
K2-224 b,1.56,0.84,-0.241
K2-224 c,2.41,0.84,-0.241
K2-225 b,3.49,1.7,0.395
K2-226 b,1.54,0.91,-0.276
K2-227 b,1.666,0.89,-0.167
K2-228 b,1.21,0.65,-0.849
K2-229 b,1,0.79,-0.389
K2-229 c,2.03,0.79,-0.389
K2-230 b,1.96,1.39,0.317
K2-231 b,2.5,0.95,-0.112
K2-232 b,11.209,1.16,0.238
K2-233 b,1.343,0.71,-0.523
K2-233 c,1.281,0.71,-0.523
K2-233 d,2.358,0.71,-0.523
K2-237 b,16.197,1.26,0.371
K2-238 b,14.572,1.59,0.36
K2-239 b,1.1,0.36,-1.796
K2-239 c,1,0.36,-1.796
K2-239 d,1.1,0.36,-1.796
K2-24 b,5.4,1.16,0.158
K2-24 c,7.5,1.16,0.158
K2-240 b,2,0.54,-1.276
K2-240 c,1.8,0.54,-1.276
K2-241 b,2.55,0.75,-0.446
K2-242 b,2.54,0.37,-1.808
K2-243 b,2.17,1.39,0.427
K2-243 c,2.01,1.39,0.427
K2-244 b,1.75,0.92,-0.118
K2-245 b,4.34,1.25,0.172
K2-246 b,3.49,0.94,-0.151
K2-247 b,2.12,0.69,-0.882
K2-247 c,2.19,0.69,-0.882
