K2-193 b,3.95,0.98
K2-194 b,3.642,1.28
K2-195 b,3.13,0.99
K2-195 c,2.576,0.91
K2-196 b,3.6,1.54
K2-197 b,2.56,0.93
K2-198 b,4.189,0.76
K2-198 c,1.423,0.76
K2-198 d,2.438,0.76
K2-199 b,1.73,0.68
K2-199 c,2.85,0.68
K2-200 b,1.364,0.79
K2-201 b,1.4,0.88
K2-201 c,3.286,0.88
K2-202 b,2.302,0.91
K2-203 b,1.371,0.76
K2-204 b,3.046,1.18
K2-205 b,1.996,1.08
K2-206 b,2.795,0.76
K2-207 b,2.606,0.93
K2-208 b,1.679,0.86
K2-209 b,0.869,0.71
K2-21 b,1.84,0.65
K2-21 c,2.49,0.65
K2-210 b,0.86,0.89
K2-211 b,1.3,0.79
K2-212 b,2.65,0.68
K2-213 b,1.514,1.2
K2-214 b,2.43,1.27
K2-215 b,2.124,0.97
K2-216 b,1.75,0.72
K2-217 b,3.579,1.33
K2-218 b,2.569,1.01
K2-219 b,1.348,1.19
K2-219 c,1.438,1.19
K2-219 d,2.576,1.19
K2-22 b,2.3,0.58
K2-220 b,2.39,1.02
K2-221 b,1.679,0.95
K2-222 b,2.35,1.11
K2-223 b,0.89,1
K2-223 c,1.5,1
K2-224 b,1.56,0.84
K2-224 c,2.41,0.84
K2-225 b,3.49,1.7
K2-226 b,1.54,0.91
K2-227 b,1.666,0.89
K2-228 b,1.21,0.65
K2-229 b,1,0.79
K2-229 c,2.03,0.79
K2-230 b,1.96,1.39
K2-231 b,2.5,0.95
K2-232 b,11.209,1.16
K2-233 b,1.343,0.71
K2-233 c,1.281,0.71
K2-233 d,2.358,0.71
K2-237 b,16.197,1.26
K2-238 b,14.572,1.59
K2-239 b,1.1,0.36
K2-239 c,1,0.36
K2-239 d,1.1,0.36
K2-24 b,5.4,1.16
K2-24 c,7.5,1.16
K2-240 b,2,0.54
K2-240 c,1.8,0.54
K2-241 b,2.55,0.75
K2-242 b,2.54,0.37
K2-243 b,2.17,1.39
K2-243 c,2.01,1.39
K2-244 b,1.75,0.92
K2-245 b,4.34,1.25
K2-246 b,3.49,0.94
K2-247 b,2.12,0.69
K2-247 c,2.19,0.69
K2-248 b,2.57,0.92
K2-249 b,2.79,1.57
K2-25 b,3.44,0.29
K2-250 b,2.44,0.81
K2-251 b,2.35,0.49
K2-252 b,1.74,0.82
K2-253 b,12.67,1.1
K2-254 b,1.63,0.67
K2-254 c,2.19,0.67
K2-255 b,2.9,0.69
K2-256 b,2.63,0.78
K2-257 b,0.83,0.5
K2-258 b,3,1.31
K2-259 b,2.32,1.13
K2-26 b,2.67,0.52
K2-260 b,17.396,1.69
K2-261 b,9.528,1.64
K2-263 b,2.41,0.85
K2-264 b,2.231,0.47
K2-264 c,2.668,0.47
K2-265 b,1.71,0.98
K2-266 b,3.3,0.7
K2-266 c,0.705,0.7
K2-266 d,2.93,0.7
K2-266 e,2.73,0.7
K2-268 b,1.5,0.78
K2-268 c,2.69,0.78
K2-268 d,1.49,0.78
K2-268 e,1.33,0.78
K2-268 f,2.23,0.78
K2-269 b,1.57,1.45
K2-27 b,4.48,0.89
K2-270 b,1.38,0.77
K2-270 c,2.95,0.77
K2-271 b,7.28,0.99
K2-272 b,3.13,0.83
K2-273 b,3.05,0.85
K2-274 b,2.08,0.7
K2-275 b,2.34,0.69
K2-275 c,2.21,0.69
K2-276 b,3.77,0.85
K2-277 b,2.07,0.97
K2-278 b,2.98,1.61
K2-279 b,1.21,0.86
K2-28 b,2.32,0.29
K2-280 b,7.5,1.28
K2-281 b,8.18,0.76
K2-282 b,2.5,1
K2-283 b,3.52,0.82
K2-284 b,2.78,0.61
K2-285 b,2.59,0.79
K2-285 c,3.53,0.79
K2-285 d,2.48,0.79
K2-285 e,1.95,0.79
K2-286 b,2.1,0.62
K2-287 b,9.494,1.07
K2-288 B b,1.9,0.32
K2-289 b,9.1,1.02
K2-29 b,13.339,0.86
K2-290 b,3.06,1.51
K2-290 c,11.276,1.51
K2-291 b,1.589,0.9
K2-292 b,2.63,1.09
K2-293 b,2.45,0.95
K2-294 b,1.66,1.2
K2-295 b,10.054,0.7
K2-3 b,2.078,0.55
K2-3 c,1.582,0.55
K2-3 d,1.458,0.55
K2-30 b,11.646,0.84
K2-308 b,9.916,1.24
K2-31 b,11.882,0.78
K2-315 b,0.95,0.2
K2-316 b,1.33,0.38
K2-316 c,1.83,0.38
K2-317 b,2.93,0.38
K2-318 b,1.66,0.55
K2-319 b,2.79,0.9
K2-32 b,5.299,0.86
K2-32 c,3.134,0.86
K2-32 d,3.484,0.86
K2-32 e,1.212,0.86
K2-320 b,2.62,0.3
K2-321 b,1.95,0.58
K2-322 b,1.92,0.6
K2-323 b,2.1,0.55
K2-324 b,2.43,0.51
K2-325 b,2.2,0.3
K2-326 b,2.28,0.69
K2-329 b,8.676,0.82
K2-33 b,5.04,1.05
K2-330 b,2.77,1.5
K2-331 b,1.79,1.06
K2-331 c,2.72,1.06
K2-332 b,2.2,0.28
K2-333 b,6.18,1.22
K2-334 b,5.65,1.49
K2-335 b,2.21,1.33
K2-336 b,1.22,0.8
K2-337 b,2.62,1.32
K2-338 b,1.03,0.63
K2-339 b,1.92,0.72
K2-34 b,13.75,1.42
K2-340 b,3.36,1.13
K2-341 b,3.21,1.16
K2-342 b,2.03,1.09
K2-343 b,1.65,0.46
K2-343 c,2.02,0.46
K2-344 b,1.59,0.49
K2-345 b,2.11,0.52
K2-346 b,2.26,0.7
K2-347 b,2.41,0.63
K2-348 b,3.26,0.85
K2-348 c,2.67,0.85
K2-349 b,1.38,0.49
K2-35 b,1.32,0.62
K2-35 c,1.93,0.62
K2-350 b,1.54,1.04
K2-350 c,2.74,1.04
K2-351 b,2.54,1.05
K2-352 b,1.37,0.95
K2-352 c,1.92,0.95
K2-352 d,2.23,0.95
K2-353 b,5.55,0.99
K2-354 b,1.56,0.41
K2-355 b,2.25,0.92
K2-356 b,2.29,0.86
K2-357 b,3.72,1
K2-358 b,2.68,0.91
K2-36 b,1.43,0.72
K2-36 c,3.2,0.72
K2-365 b,2.906,1.05
K2-366 b,2.359,0.94
K2-367 b,2.413,0.62
K2-368 b,1.332,0.66
K2-368 c,1.361,0.66
K2-368 d,1.948,0.66
K2-369 b,1.313,0.88
K2-37 b,1.61,0.85
K2-37 c,2.75,0.85
K2-37 d,2.73,0.85
K2-370 b,3.207,0.97
K2-371 b,13.024,0.74
K2-372 b,2.945,0.92
K2-373 b,2.061,1.49
K2-374 b,1.593,0.91
K2-374 c,2.213,0.91
K2-375 b,2.243,1.54
K2-376 b,1.736,1.15
K2-377 b,1.693,0.69
K2-378 b,2.88,0.73
K2-379 b,2.181,0.75
K2-38 b,1.655,1.14
K2-38 c,2.49,1.14
K2-380 b,2.729,1.32
K2-381 b,1.075,0.68
K2-381 c,2,0.68
K2-381 d,1.689,0.68
K2-382 b,2.072,0.81
K2-383 b,1.564,0.8
K2-384 b,1.076,0.35
K2-384 c,1.191,0.35
